MATERIAL;;Etiquetas de fila;NOMBRE PRODUCTO;  PRECIO  ; TOTAL BOLSAS/CAJAS;TOTAL STAND BODEGA;TOTAL EXHIBICIÓN;TOTAL CARRITO;FALTA FACTU FEEAN;VENTA INTERNA FALTA SALIDA;VITRINAS EXTERIOR;INVENTARIO FISICO;INVENTARIO SAP;DIFERENCIA;VALOR INVENTARIO;DESCONTAR;INGRESAR;Observación
116000000000000490;0490;CHAQUETAS;CHAQUETA ROMPEVIENTOS AMARILA L; 157.000 ;0;3;0;0;0;0;0;3;3;0;$ 471.000;;;OK
116000000000000491;0491;CHAQUETAS;CHAQUETA ROMPEVIENTOS AMARILA XL; 157.000 ;0;3;0;0;0;0;0;3;3;0;$ 471.000;;;OK
116000000000000492;0492;CHAQUETAS;CHAQUETA ROMPEVIENTOS AMARILA XXL; 157.000 ;0;4;0;0;0;0;0;4;4;0;$ 628.000;;;OK
116000000000000505;0505;CHAQUETAS;CHAQUETA ROMPEVIENTOS MORADA XS; 157.000 ;0;0;0;0;0;0;0;0;0;0;$ 0;;;OK
116000000000000506;0506;CHAQUETAS;CHAQUETA ROMPEVIENTOS MORADA S; 157.000 ;0;0;1;0;0;0;0;1;1;0;$ 157.000;;;OK
116000000000000507;0507;CHAQUETAS;CHAQUETA ROMPEVIENTOS MORADA M; 157.000 ;0;2;0;0;0;0;0;2;2;0;$ 314.000;;;OK
116000000000000508;0508;CHAQUETAS;CHAQUETA ROMPEVIENTOS MORADA L; 157.000 ;0;7;0;0;0;0;0;7;7;0;$ 1.099.000;;;OK
116000000000000509;0509;CHAQUETAS;CHAQUETA ROMPEVIENTOS MORADA XL; 157.000 ;0;6;0;0;0;0;0;6;6;0;$ 942.000;;;OK
116000000000000510;0510;CHAQUETAS;CHAQUETA ROMPEVIENTOS MORADA XXL; 157.000 ;0;3;0;0;0;0;0;3;3;0;$ 471.000;;;OK
116000000000000499;0499;CHAQUETAS;CHAQUETA ROMPEVIENTOS TURQUESA XS; 157.000 ;0;5;1;0;0;0;0;6;6;0;$ 942.000;;;OK
116000000000000500;0500;CHAQUETAS;CHAQUETA ROMPEVIENTOS TURQUESA S; 157.000 ;0;5;0;0;0;0;0;5;5;0;$ 785.000;;;OK
116000000000000502;0502;CHAQUETAS;CHAQUETA ROMPEVIENTOS TURQUESA L; 157.000 ;0;9;0;0;0;0;0;9;9;0;$ 1.413.000;;;OK
116000000000000501;0501;CHAQUETAS;CHAQUETA ROMPEVIENTOS TURQUESA M; 157.000 ;0;4;0;0;0;0;0;4;4;0;$ 628.000;;;OK
116000000000000503;0503;CHAQUETAS;CHAQUETA ROMPEVIENTOS TURQUESA XL; 157.000 ;0;14;0;0;0;0;0;14;14;0;$ 2.198.000;;;OK
116000000000000504;0504;CHAQUETAS;CHAQUETA ROMPEVIENTOS TURQUESA XXL; 157.000 ;0;9;0;0;0;0;0;9;8;-1;$ 1.413.000;; 157.000 ;Falta esa und en la CHAQUETA ROMPEVIENTOS AMARILLA M
116000000000000493;0493;CHAQUETAS;CHAQUETA ROMPEVIENTOS VERDE XS; 157.000 ;0;4;1;0;0;0;0;5;5;0;$ 785.000;;;OK
116000000000000494;0494;CHAQUETAS;CHAQUETA ROMPEVIENTOS VERDE S; 157.000 ;0;3;0;0;0;0;0;3;3;0;$ 471.000;;;OK
116000000000000495;0495;CHAQUETAS;CHAQUETA ROMPEVIENTOS VERDE M; 157.000 ;0;3;1;0;0;0;0;4;4;0;$ 628.000;;;OK
116000000000000496;0496;CHAQUETAS;CHAQUETA ROMPEVIENTOS VERDE L; 157.000 ;0;1;0;0;0;0;0;1;1;0;$ 157.000;;;OK
116000000000000497;0497;CHAQUETAS;CHAQUETA ROMPEVIENTOS VERDE XL; 157.000 ;0;4;0;0;0;0;0;4;4;0;$ 628.000;;;OK
116000000000000498;0498;CHAQUETAS;CHAQUETA ROMPEVIENTOS VERDE XXL; 157.000 ;0;3;0;0;0;0;0;3;3;0;$ 471.000;;;OK
116000000000000746;0746;CHAQUETAS;CHAQUETA BEE PUFFER MUJER MORADA XS; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000747;0747;CHAQUETAS;CHAQUETA BEE PUFFER MUJER MORADA S; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000748;0748;CHAQUETAS;CHAQUETA BEE PUFFER MUJER MORADA M; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000749;0749;CHAQUETAS;CHAQUETA BEE PUFFER MUJER MORADA L; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000750;0750;CHAQUETAS;CHAQUETA BEE PUFFER MUJER MORADA XL; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000751;0751;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE MORADA S; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000752;0752;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE MORADA M; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000753;0753;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE MORADA L; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000754;0754;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE MORADA XL; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000755;0755;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE MORADA XXL; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000756;0756;CHAQUETAS;CHAQUETA BEE PUFFER MUJER VERDE XS; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000757;0757;CHAQUETAS;CHAQUETA BEE PUFFER MUJER VERDE S; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000758;0758;CHAQUETAS;CHAQUETA BEE PUFFER MUJER VERDE M; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000759;0759;CHAQUETAS;CHAQUETA BEE PUFFER MUJER VERDE L; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000760;0760;CHAQUETAS;CHAQUETA BEE PUFFER MUJER VERDE XL; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000761;0761;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE VERDE S; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000762;0762;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE VERDE M; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000763;0763;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE VERDE L; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000764;0764;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE VERDE XL; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
