MATERIAL;NOMBRE PRODUCTO;INVENTARIO FISICO;INVENTARIO SAP;DIFERENCIA
116000000000000308;CHAQUETA BOMPER GRIS / NEGRA MUJER XS;0;0;0
116000000000000307;CHAQUETA BOMPER GRIS / NEGRA MUJER S;1;1;0
116000000000000306;CHAQUETA BOMPER GRIS / NEGRA MUJER M;2;2;0
116000000000000305;CHAQUETA BOMPER GRIS / NEGRA MUJER L;3;3;0
116000000000000304;CHAQUETA BOMPER GRIS / NEGRA MUJER XL;1;1;0
116000000000000376;CHAQUETA BOMPER NEGRA COLIBRI HOMBRE S;3;3;0
116000000000000377;CHAQUETA BOMPER NEGRA COLIBRI HOMBRE M;0;0;0
116000000000000378;CHAQUETA BOMPER NEGRA COLIBRI HOMBRE L;0;0;0
116000000000000379;CHAQUETA BOMPER NEGRA COLIBRI HOMBRE XL;3;3;0
116000000000000380;CHAQUETA BOMPER NEGRA COLIBRI HOMBRE XXL;0;0;0
116000000000000370;CHAQUETA BOMPER NEGRA COLIBRI MUJER XS;0;0;0
116000000000000371;CHAQUETA BOMPER NEGRA COLIBRI MUJER S;0;0;0
116000000000000372;CHAQUETA BOMPER NEGRA COLIBRI MUJER M;2;2;0
116000000000000373;CHAQUETA BOMPER NEGRA COLIBRI MUJER L;1;1;0
116000000000000374;CHAQUETA BOMPER NEGRA COLIBRI MUJER XL;1;1;0
116000000000000375;CHAQUETA BOMPER NEGRA COLIBRI MUJER XXL;0;1;1
116000000000000194;CHAQUETA BOMPER 1967  NEGRA HOMBRE S;5;5;0
116000000000000195;CHAQUETA BOMPER 1967  NEGRA HOMBRE M;5;5;0
116000000000000196;CHAQUETA BOMPER 1967  NEGRA HOMBRE L;6;6;0
116000000000000197;CHAQUETA BOMPER 1967  NEGRA HOMBRE XL;5;5;0
116000000000000384;CHAQUETA BOMPER 1967 NEGRA HOMBRE XXL;8;8;0
116000000000000190;CHAQUETA BOMPER 1967 GRIS HOMBRE S;6;6;0
116000000000000191;CHAQUETA BOMPER 1967 GRIS HOMBRE M;7;7;0
116000000000000192;CHAQUETA BOMPER 1967 GRIS HOMBRE L;5;5;0
116000000000000193;CHAQUETA BOMPER 1967 GRIS HOMBRE XL;6;6;0
116000000000000198;CHAQUETA BOMPER 1967 GRIS MUJER XS;5;5;0
116000000000000199;CHAQUETA BOMPER 1967 GRIS MUJER S;4;4;0
116000000000000200;CHAQUETA BOMPER 1967 GRIS MUJER M;1;1;0
116000000000000201;CHAQUETA BOMPER 1967 GRIS MUJER L;3;3;0
116000000000000202;CHAQUETA BOMPER 1967 GRIS MUJER XL;7;7;0
116000000000000203;CHAQUETA BOMPER 1967 NEGRA MUJER XS;8;8;0
116000000000000204;CHAQUETA BOMPER 1967 NEGRA MUJER S;8;8;0
116000000000000205;CHAQUETA BOMPER 1967 NEGRA MUJER M;7;7;0
116000000000000206;CHAQUETA BOMPER 1967 NEGRA MUJER L;1;1;0
116000000000000207;CHAQUETA BOMPER 1967 NEGRA MUJER XL;8;8;0
116000000000000313;CHAQUETA COMBINADA TURQUESA HOMBRE XS;0;0;0
116000000000000312;CHAQUETA COMBINADA TURQUESA HOMBRE S;0;0;0
116000000000000311;CHAQUETA COMBINADA TURQUESA HOMBRE M;1;1;0
116000000000000310;CHAQUETA COMBINADA TURQUESA HOMBRE L;5;5;0
116000000000000309;CHAQUETA COMBINADA TURQUESA HOMBRE XL;1;1;0
116000000000000382;CHAQUETA COMBINADA TURQUESA HOMBRE XXL;5;5;0
116000000000000318;CHAQUETA COMBINADA TURQUESA MUJER XS;0;1;1
116000000000000317;CHAQUETA COMBINADA TURQUESA MUJER S;3;3;0
